"hh_id","hh_cluster","hhweight","tot_hh","lat","lon","urban_rural","n_hh","n_adult","n_children","monthly_exp","monthly_exp_per_cap","country","dried","fresh","any_fish"
"2_113_1","2_113",140.95166015625,7101,12.57059729,-16.27179809,"urban",7,3,4,9300,1328.57142857143,"SEN","no","yes","yes"
"2_556_1","2_556",86.108528137207,7101,12.41166992,-12.41830906,"rural",3,2,1,3050,1016.66666666667,"SEN","no","yes","yes"
"1_329_5","1_329",326.408081054688,7101,14.7709471,-16.9569379,"urban",9,6,3,59900,6655.55555555556,"SEN","yes","yes","yes"
"1_346_1","1_346",302.772430419922,7101,15.0399587,-16.0519667,"rural",12,6,6,39250,3270.83333333333,"SEN","no","yes","yes"
"2_105_1","2_105",149.09553527832,7101,12.56817411,-16.28804515,"urban",4,4,0,8700,2175,"SEN","no","yes","yes"
"1_487_9","1_487",207.962615966797,7101,15.5189023,-13.1050588,"rural",9,4,5,3875,430.555555555556,"SEN","no","yes","yes"
"2_558_1","2_558",59.3823890686035,7101,12.55535634,-12.86036701,"rural",2,2,0,1250,625,"SEN","no","no","no"
"1_189_2","1_189",210.071853637695,7101,16.4557921,-14.327483,"rural",14,7,7,4750,339.285714285714,"SEN","no","yes","yes"
"1_59_10","1_59",454.123107910156,7101,14.7636012,-17.3521539,"urban",6,3,3,13300,2216.66666666667,"SEN","yes","yes","yes"
"2_292_1","2_292",242.446929931641,7101,14.1389984,-16.0781366,"rural",8,4,4,11450,1431.25,"SEN","yes","yes","yes"
"1_321_6","1_321",251.954498291016,7101,14.8128249,-16.8753523,"rural",4,4,0,15300,3825,"SEN","yes","yes","yes"
"2_431_2","2_431",239.374450683594,7101,12.77186037,-14.94600431,"rural",7,4,3,7300,1042.85714285714,"SEN","yes","yes","yes"
"2_292_2","2_292",242.446929931641,7101,14.1389984,-16.0781366,"rural",8,3,5,4700,587.5,"SEN","yes","yes","yes"
"2_20_1","2_20",503.595764160156,7101,14.749019,-17.4693456,"urban",10,8,2,127800,12780,"SEN","yes","yes","yes"
"2_492_1","2_492",80.3821563720703,7101,14.11228508,-15.54186886,"urban",5,3,2,2000,400,"SEN","yes","yes","yes"
"2_577_1","2_577",86.9562454223633,7101,13.0615589,-15.63560471,"urban",4,2,2,2350,587.5,"SEN","yes","yes","yes"
"2_380_1","2_380",418.347106933594,7101,15.69910538,-16.12735828,"rural",8,5,3,5800,725,"SEN","yes","yes","yes"
"1_491_6","1_491",71.9949569702148,7101,14.1096506,-15.5498495,"urban",14,4,10,19800,1414.28571428571,"SEN","yes","yes","yes"
"2_274_1","2_274",294.935455322266,7101,14.02940644,-15.90763244,"rural",27,15,12,20000,740.740740740741,"SEN","yes","yes","yes"
"2_270_1","2_270",152.112991333008,7101,13.91710355,-15.92126734,"urban",6,1,5,5500,916.666666666667,"SEN","yes","yes","yes"
"1_597_3","1_597",163.444259643555,7101,12.5854469,-15.4301442,"rural",13,6,7,7250,557.692307692308,"SEN","no","yes","yes"
"2_80_1","2_80",603.549438476563,7101,14.7850293,-17.3832008,"urban",10,5,5,99800,9980,"SEN","no","yes","yes"
"2_391_1","2_391",395.820373535156,7101,14.53678767,-16.28578832,"rural",7,2,5,4500,642.857142857143,"SEN","no","yes","yes"
"1_468_4","1_468",206.019058227539,7101,16.08737,-13.5126214,"rural",12,6,6,10500,875,"SEN","yes","yes","yes"
"2_403_1","2_403",84.9969100952148,7101,13.87680189,-16.36375934,"urban",4,1,3,5300,1325,"SEN","no","yes","yes"
"2_276_1","2_276",202.039108276367,7101,13.95881043,-15.89318799,"rural",11,3,8,11200,1018.18181818182,"SEN","yes","yes","yes"
"1_377_7","1_377",262.900695800781,7101,15.5463797,-15.8025332,"rural",13,5,8,19500,1500,"SEN","yes","yes","yes"
"2_464_1","2_464",94.7392196655273,7101,15.96878811,-13.60942834,"urban",8,3,5,3700,462.5,"SEN","no","yes","yes"
