"hh_id","tot_hh","lat","lon","urban_rural","n_hh","n_adult","n_children","country"
"1_871_12",12774,6.9400643,-7.8425279,"urban",4,2,2,"CIV"
"2_748_1",12774,7.8502472,-5.9360574,"rural",4,3,1,"CIV"
"2_406_2",12774,9.44383171387017,-7.11678857915103,"rural",5,2,3,"CIV"
"1_777_4",12774,9.7192066,-3.468704,"rural",1,1,0,"CIV"
"1_1083_3",12774,6.5228287,-4.6981216,"rural",8,4,4,"CIV"
"1_629_1",12774,6.3850102,-5.4172573,"urban",6,3,3,"CIV"
"1_485_12",12774,5.2852142,-3.3113905,"urban",5,4,1,"CIV"
"1_3_2",12774, , ,"urban",3,1,2,"CIV"
"2_1012_13",12774,6.27631075680256,-6.56559253111482,"rural",6,2,4,"CIV"
"2_990_5",12774,6.16823089309037,-6.8740775808692,"rural",7,2,5,"CIV"
"1_283_4",12774,7.0369473,-8.1293009,"urban",10,3,7,"CIV"
"2_1012_11",12774,6.27631075680256,-6.56559253111482,"rural",6,4,2,"CIV"
"2_526_8",12774,6.07794069685042,-5.21781560964882,"rural",8,3,5,"CIV"
"2_794_9",12774,10.3597874008119,-6.81382326409221,"rural",6,2,4,"CIV"
"2_904_11",12774,8.36494100745767,-4.42528956569731,"urban",3,2,1,"CIV"
"1_709_1",12774,10.2828554,-6.5751702,"rural",8,3,5,"CIV"
"1_11_2",12774,5.3072385,-3.9749248,"urban",4,2,2,"CIV"
"2_1030_2",12774,9.5902335,-5.1885604,"urban",6,3,3,"CIV"
"1_177_10",12774,7.97067183069885,-5.53954574279487,"rural",11,3,8,"CIV"
"2_302_6",12774,6.77964173723012,-5.27232756838202,"urban",6,4,2,"CIV"
"1_433_5",12774,6.894237,-6.1525828,"urban",5,4,1,"CIV"
"1_891_2",12774,6.8274917,-7.0580413,"rural",6,2,4,"CIV"
"1_599_6",12774,6.2590479,-6.3587497,"rural",10,5,5,"CIV"
"2_814_12",12774,5.24280361365527,-6.06983028352261,"urban",4,2,2,"CIV"
"1_955_2",12774,6.10970739740878,-3.87038234621286,"urban",3,2,1,"CIV"
"2_334_14",12774,7.4717355,-3.2510083,"rural",4,3,1,"CIV"
"2_344_6",12774,7.9230338,-3.2042354,"rural",4,1,3,"CIV"
"1_515_2",12774, , ,"urban",5,2,3,"CIV"
"2_762_4",12774,8.19318722002208,-5.84327037446201,"rural",7,4,3,"CIV"
"1_303_5",12774, , ,"urban",4,2,2,"CIV"
"2_1038_5",12774,8.8791286,-4.1356886,"rural",7,3,4,"CIV"
"2_374_11",12774,4.7202303,-6.7375121,"rural",4,2,2,"CIV"
"1_1049_11",12774,10.129693,-5.2403019,"urban",8,3,5,"CIV"
"2_380_5",12774,4.9259145,-7.4923644,"rural",3,3,0,"CIV"
"1_763_5",12774,9.4671168,-3.0172788,"rural",3,2,1,"CIV"
"2_946_7",12774,7.5868137,-4.3850492,"rural",5,1,4,"CIV"
