"grappe","vague","coordonnes_gps__Latitude","coordonnes_gps__Longitude","coordonnes_gps__Accuracy","coordonnes_gps__Altitude","coordonnes_gps__Timestamp"
446,2,6.8017069,-6.0140632,20,321,"2019-05-18T17:16:49"
66,2,5.3295037150383,-4.08626622520387,11,51,"2019-07-05T12:33:28"
864,2,7.159145437181,-7.1845680847764,3,315,"2019-06-03T07:33:25"
952,2,7.7423833,-4.0423443,30,244,"2019-06-12T18:36:41"
512,2,7.7101373,-7.0678319,18,287,"2019-05-28T16:24:19"
876,2,6.75053562037647,-7.362414970994,10,266,"2019-06-16T14:29:59"
496,2,5.215915,-3.7446087,39,48,"2019-08-25T14:20:01"
6,2,5.3189054,-4.0432966,19,29,"2019-06-07T15:46:08"
688,2,9.43310920614749,-6.67374196462333,6,442,"2019-06-08T08:08:15"
52,2,5.40211253799498,-3.98105439729989,23,156,"2019-07-11T10:12:18"
676,2,8.27253865543753,-8.16923232749104,13,561,"2019-05-29T21:02:48"
930,2,7.06470523495227,-3.96115651354194,44,225,"2019-05-21T11:23:15"
932,2,7.05926164984703,-3.96788542158902,39,212,"2019-05-21T11:27:58"
558,2,5.75521475169808,-5.86298720911145,15,231,"2019-05-28T07:22:36"
696,2,9.75886743050069,-6.46490282379091,21,408,"2019-06-03T08:17:14"
1048,2,10.0703353481367,-5.43186619877815,18,356,"2019-06-08T10:52:54"
560,2,6.026766,-5.69281,19,259,"2019-06-02T07:51:01"
674,2,8.18383662030101,-7.90658262558281,5,569,"2019-05-18T17:50:23"
520,2,8.00212027039379,-6.86297608539462,6,320,"2019-06-14T16:12:02"
682,2,8.28563584014773,-7.67326531000435,4,497,"2019-06-09T13:31:54"
128,2,7.127929427661,-6.47481551393867,5,256,"2019-06-03T16:29:25"
898,2,7.40178833249956,-7.21713655628264,5,323,"2019-06-09T07:54:38"
636,2,6.6493947,-7.8897576,16,317,"2019-05-19T17:02:54"
576,2,6.01890556979924,-4.36798006296158,14,120,"2019-05-23T10:59:23"
1076,2,6.5799941,-4.2737942,17,214,"2019-06-02T09:10:45"
130,2,7.37594244070351,-6.46481514908373,16,306,"2019-06-09T11:28:36"
1072,2,6.75001648720354,-4.15971541777253,18,221,"2019-05-26T14:58:27"
578,2,5.71191551629454,-4.41277773119509,13,83,"2019-05-27T11:16:37"
142,2,9.4344459939748,-5.43848899193108,3,376,"2019-06-02T13:58:40"
126,2,7.3867267,-6.4761774,20,342,"2019-06-07T13:58:46"
522,2,8.5124152,-6.9396838,16,417,"2019-05-22T15:53:40"
22,2,5.2816712,-4.0045739,39.5999984741211,0,"2019-06-02T15:07:51"
680,2,8.26711309142411,-7.21817691810429,5,431,"2019-06-10T16:16:58"
138,2,9.30724273435771,-5.78469176776707,5,390,"2019-05-20T09:21:44"
650,2,6.4112821,-7.5475796,18,271,"2019-06-06T17:26:19"
1050,2,10.1942872,-5.634201,21,368,"2019-05-30T21:13:18"
628,2,6.39054100960493,-5.40163074620068,12,205,"2019-06-08T09:41:32"
408,2,6.86941682361066,-4.42030476406217,29,149,"2019-05-19T07:13:27"
36,2,5.36707450635731,-4.00816197507083,10,93,"2019-06-13T15:40:56"
1058,2,10.4003197,-5.6764561,33,373,"2019-05-22T20:02:30"
28,2,5.24957279674709,-3.94413798116148,10,42,"2019-05-26T17:34:02"
536,2,6.18903825525194,-5.29871849343181,4,221,"2019-06-08T16:34:13"
48,2,5.4191048,-3.9881564,44,118,"2019-06-13T10:05:56"
656,2,5.7659030193463,-7.38992496393621,25,168,"2019-06-12T08:43:31"
644,2,6.53587193693966,-7.50927530229092,5,241,"2019-05-23T17:40:39"
266,2,7.10934025235474,-7.55247973836958,3,278,"2019-07-05T07:03:19"
462,2,7.4146959,-5.907904,26,316,"2019-06-09T18:00:26"
484,2,5.79497313592583,-3.14195598475635,28,105,"2019-05-21T11:03:45"
982,2,6.18478439748287,-3.64768926054239,4,155,"2019-06-06T16:43:26"
882,2,6.87521240673959,-7.33240046538413,43,280,"2019-05-23T16:40:18"
268,2,,,,,"##N/A##"
526,2,6.07794069685042,-5.21781560964882,6,206,"2019-05-28T17:10:54"
164,2,9.35785253997892,-5.63715426251292,8,389,"2019-06-19T09:59:47"
600,2,5.90201842132956,-5.90772771276534,16,285,"2019-05-30T08:17:20"
270,2,,,,,"##N/A##"
566,2,5.8274854067713,-4.15035501122475,10,100,"2019-06-15T08:33:07"
620,2,5.90200312435627,-6.21812953613698,10,230,"2019-05-22T07:48:00"
160,2,9.2531673470512,-5.51593232899904,4,372,"2019-05-28T09:44:09"
540,2,5.88066937867552,-5.18943616189063,7,137,"2019-06-05T20:21:33"
460,2,7.5178916,-5.9318017,19,313,"2019-06-14T08:31:41"
140,2,9.46306688245386,-5.50393405370414,7,367,"2019-06-07T17:29:18"
980,2,6.25080994796008,-3.54665304534137,3,180,"2019-05-22T07:52:49"
534,2,5.72779662441462,-5.4323782492429,7,190,"2019-06-02T07:15:14"
444,2,7.2096878523007,-5.69806387647986,8,212,"2019-06-04T08:29:08"
438,2,6.9209877,-5.6086105,15,204,"2019-06-07T17:25:07"
1070,2,6.650724,-4.2066003,19,236,"2019-05-24T17:10:49"
300,2,6.83869044296443,-5.29389286413789,8,250,"2019-05-29T16:45:10"
354,2,4.74769222084433,-6.93357610143721,5,37,"2019-05-19T17:34:21"
296,2,6.82059802114964,-5.25046521797776,3,260,"2019-06-04T17:01:10"
70,2,5.33637205604464,-4.11858391016722,7,67,"2019-07-02T14:46:38"
176,2,7.73799422197044,-5.52599958144128,3,267,"2019-05-30T20:25:36"
364,2,4.75101074203849,-6.93436123430729,13,41,"2019-05-22T18:03:37"
302,2,6.77964173723012,-5.27232756838202,11,232,"2019-05-26T18:28:46"
74,2,5.41931429877877,-3.99250055663288,11,132,"2019-07-01T12:00:34"
198,2,7.6887123612687,-5.04116046242416,6,383,"2019-06-05T16:31:42"
370,2,4.769153,-6.6661871,25,36,"2019-06-26T14:07:08"
314,2,6.6669883,-5.2329134,19,224,"2019-06-12T13:11:52"
714,2,7.45307137258351,-4.98089365661144,10,254,"2019-06-12T17:46:26"
920,2,8.10253597330302,-4.92200860753655,7,233,"2019-05-19T06:55:00"
202,2,7.7089928,-5.0224291,24,357,"2019-06-09T16:05:28"
188,2,7.67065610736609,-5.06994601339102,24,406,"2019-05-29T08:02:54"
294,2,6.82073866948485,-5.27253887616098,5,227,"2019-06-04T12:24:37"
304,2,6.80706061888486,-5.26175622828305,3,236,"2019-06-15T10:29:48"
206,2,7.77278339490294,-5.01128149218857,3,327,"2019-06-12T20:40:45"
718,2,6.41426544170827,-5.15612589195371,3,202,"2019-06-02T09:35:51"
728,2,6.54362716712058,-5.25956897065043,4,231,"2019-06-10T10:19:02"
732,2,6.55538714490831,-5.02935966476798,4,180,"2019-06-05T11:16:37"
358,2,5.25787150952965,-6.53341541066766,8,152,"2019-06-12T17:02:03"
684,2,8.25835966039449,-7.73016409948468,3,562,"2019-06-08T20:47:06"
1008,2,5.66683139652014,-6.6427653003484,10,162,"2019-06-01T09:20:42"
56,2,5.36531941965222,-3.93735274672508,4,100,"2019-07-21T10:44:37"
912,2,8.42317968606949,-4.48366776108742,4,322,"2019-05-31T19:17:26"
420,2,6.657484928146,-4.71744557842612,5,110,"2019-05-25T09:43:52"
702,2,9.89982958417386,-6.68930137529969,4,424,"2019-06-01T12:10:13"
