"occ","y4_hhid","indidy4","ag01_01","ag01_02","ag01_03","ag01_04"
5,"1798-001",5,"**CONFIDENTIAL**",1,1,
1,"1799-001",1,"**CONFIDENTIAL**",44,1,"X"
2,"1799-001",2,"**CONFIDENTIAL**",41,2,
3,"1799-001",3,"**CONFIDENTIAL**",19,1,
4,"1799-001",4,"**CONFIDENTIAL**",16,2,
5,"1799-001",5,"**CONFIDENTIAL**",18,2,
6,"1799-001",6,"**CONFIDENTIAL**",12,1,
7,"1799-001",7,"**CONFIDENTIAL**",8,2,
8,"1799-001",8,"**CONFIDENTIAL**",2,2,
1,"1800-001",1,"**CONFIDENTIAL**",50,1,
2,"1800-001",2,"**CONFIDENTIAL**",41,2,"X"
3,"1800-001",3,"**CONFIDENTIAL**",20,1,
4,"1800-001",4,"**CONFIDENTIAL**",16,2,
5,"1800-001",5,"**CONFIDENTIAL**",14,1,
6,"1800-001",6,"**CONFIDENTIAL**",11,1,
7,"1800-001",7,"**CONFIDENTIAL**",8,1,
8,"1800-001",8,"**CONFIDENTIAL**",1,2,
1,"1801-001",1,"**CONFIDENTIAL**",42,1,
2,"1801-001",2,"**CONFIDENTIAL**",40,2,
3,"1801-001",3,"**CONFIDENTIAL**",19,1,"X"
4,"1801-001",4,"**CONFIDENTIAL**",16,1,
5,"1801-001",5,"**CONFIDENTIAL**",14,1,"X"
6,"1801-001",6,"**CONFIDENTIAL**",10,2,
7,"1801-001",7,"**CONFIDENTIAL**",7,2,
8,"1801-001",8,"**CONFIDENTIAL**",2,2,
1,"1802-001",1,"**CONFIDENTIAL**",46,1,
2,"1802-001",2,"**CONFIDENTIAL**",32,2,"X"
3,"1802-001",3,"**CONFIDENTIAL**",17,2,
4,"1802-001",4,"**CONFIDENTIAL**",14,2,
5,"1802-001",5,"**CONFIDENTIAL**",11,2,
6,"1802-001",6,"**CONFIDENTIAL**",8,2,
7,"1802-001",7,"**CONFIDENTIAL**",0,2,
1,"1803-001",1,"**CONFIDENTIAL**",28,1,"X"
2,"1803-001",2,"**CONFIDENTIAL**",22,2,"X"
3,"1803-001",3,"**CONFIDENTIAL**",7,1,
4,"1803-001",4,"**CONFIDENTIAL**",6,2,
5,"1803-001",5,"**CONFIDENTIAL**",1,1,
1,"1804-001",1,"**CONFIDENTIAL**",65,2,"X"
