"sample_id","date","location","type","days_processed","catch_source","local_name","latin_name","nutrient","value","unit"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","cobalt",0.033,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","nickel", ,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","copper",2.5,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","zinc",200,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","arsenic",0.78,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","selenium",1200,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","molybdenum",0.1,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","silver", ,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","cadmium",0.079,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","mercury",0.016,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","lead",0.043,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","iodine",980,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","calcium",33000,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","sodium",2500,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","potassium",11000,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","magnesium",1500,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","phosphorus",23000,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","vitamin_d3",20,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","folate",880,"mg_100g"
