sciname,common_name,genus,subfamily,family,order,class,superclass,phylum,kingdom,isscaap
psettodes erumei,indian halibut,psettodes,NA,psettodidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
psettodidae,"turbots, indian halibuts",NA,NA,psettodidae,pleuronectiformes,teleostei,osteichthyes,chordata,animalia,NA
pseudamussium clavatum,club scallop,pseudamussium,NA,pectinidae,pectinida,bivalvia,NA,mollusca,animalia,"Scallops, pectens"
pseudaphya ferreri,ferrer's goby,pseudaphya,gobionellinae,gobiidae,gobiiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pseudobalistes flavimarginatus,yellowmargin triggerfish,pseudobalistes,NA,balistidae,tetraodontiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pseudobatos percellens,chola guitarfish,pseudobatos,NA,rhinobatidae,rhinopristiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
pseudobatos planiceps,pacific guitarfish,pseudobatos,NA,rhinobatidae,rhinopristiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
pseudocaranx dentex,white trevally,pseudocaranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
pseudocarcharias kamoharai,crocodile shark,pseudocarcharias,NA,pseudocarchariidae,lamniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
pseudocardium sybillae,imperial surf clam,pseudocardium,NA,mactridae,venerida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
pseudochaenichthys georgianus,south georgia icefish,pseudochaenichthys,NA,channichthyidae,perciformes/notothenioidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
pseudocurimata boulengeri,,pseudocurimata,NA,curimatidae,characiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
pseudocyttus maculatus,smooth oreo dory,pseudocyttus,pseudocyttinae,oreosomatidae,zeiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
pseudograpsus setosus,jaiba peluda,pseudograpsus,varuninae,varunidae,decapoda,malacostraca,NA,arthropoda,animalia,NA
pseudopercis,,pseudopercis,NA,pinguipedidae,perciformes/uranoscopoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pseudopercis semifasciata,argentinian sandperch,pseudopercis,NA,pinguipedidae,perciformes/uranoscopoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pseudophycis bachus,red codling,pseudophycis,NA,moridae,gadiformes,actinopterygii,osteichthyes,chordata,animalia,"Cods, hakes, haddocks"
pseudophycis barbata,southern bastard codling,pseudophycis,NA,moridae,gadiformes,actinopterygii,osteichthyes,chordata,animalia,"Cods, hakes, haddocks"
pseudophycis breviuscula,northern bastard codling,pseudophycis,NA,moridae,gadiformes,actinopterygii,osteichthyes,chordata,animalia,"Cods, hakes, haddocks"
pseudoplatystoma,sorubims nei,pseudoplatystoma,NA,pimelodidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
pseudoplatystoma corruscans,spotted sorubim,pseudoplatystoma,NA,pimelodidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
pseudoplatystoma fasciatum,barred sorubim,pseudoplatystoma,NA,pimelodidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
pseudoplatystoma magdaleniatum,,pseudoplatystoma,NA,pimelodidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
pseudoplatystoma tigrinum,tiger sorubim,pseudoplatystoma,NA,pimelodidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
pseudopleuronectes americanus,winter flounder,pseudopleuronectes,pleuronectinae,pleuronectidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
pseudopleuronectes herzensteini,yellow striped flounder,pseudopleuronectes,pleuronectinae,pleuronectidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
pseudorhombus arsius,largetooth flounder,pseudorhombus,NA,paralichthyidae,pleuronectiformes,teleostei,osteichthyes,chordata,animalia,NA
pseudotolithus,west african croakers nei,pseudotolithus,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pseudotolithus elongatus,bobo croaker,pseudotolithus,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pseudotolithus senegalensis,cassava croaker,pseudotolithus,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pseudotolithus senegallus,law croaker,pseudotolithus,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pseudotolithus typus,longneck croaker,pseudotolithus,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pseudupeneus maculatus,spotted goatfish,pseudupeneus,NA,mullidae,mulliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pseudupeneus prayensis,west african goatfish,pseudupeneus,NA,mullidae,mulliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
psychroteuthis glacialis,glacial squid,psychroteuthis,NA,psychroteuthidae,teuthida,cephalopoda,NA,mollusca,animalia,"Squids, cuttlefishes, octopuses"
pterengraulis atherinoides,wingfin anchovy,pterengraulis,engraulinae,engraulidae,clupeiformes,teleostei,osteichthyes,chordata,animalia,NA
pteriidae,pearl oysters,NA,NA,pteriidae,ostreida,bivalvia,NA,mollusca,animalia,NA
pterocaesio tile,dark-banded fusilier,pterocaesio,caesioninae,caesionidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
pterodoras granulosus,granulated catfish,pterodoras,doradinae,doradidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
pterogymnus laniarius,panga seabream,pterogymnus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pterois miles,devil firefish,pterois,pteroinae,scorpaenidae,perciformes/scorpaenoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
pterois volitans,red lionfish,pterois,pteroinae,scorpaenidae,perciformes/scorpaenoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
pteroplatytrygon violacea,pelagic stingray,pteroplatytrygon,dasyatinae,dasyatidae,myliobatiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
pteroscion peli,boe drum,pteroscion,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pterotolithus maculatus,blotched tiger-toothed croaker,pterotolithus,NA,sciaenidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
pterycombus brama,atlantic fanfish,pterycombus,NA,bramidae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
pterygoplichthys pardalis,amazon sailfin catfish,pterygoplichthys,hypostominae,loricariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
pterygotrigla,latchets,pterygotrigla,pterygotriglinae,triglidae,perciformes/scorpaenoidei,teleostei,osteichthyes,chordata,animalia,NA
pterygotrigla picta,spotted gurnard,pterygotrigla,pterygotriglinae,triglidae,perciformes/scorpaenoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
pterygotrigla polyommata,latchet(=sharpbeak gurnard),pterygotrigla,pterygotriglinae,triglidae,perciformes/scorpaenoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
puerulus sewelli,arabian whip lobster,puerulus,NA,palinuridae,decapoda,malacostraca,NA,arthropoda,animalia,"Lobsters, spiny-rock lobsters"
puntioplites waandersi,,puntioplites,cyprininae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
puntius,asian barbs nei,puntius,smiliogastrinae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
pygocentrus nattereri,red piranha,pygocentrus,serrasalminae,serrasalmidae,characiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
pygoplites diacanthus,regal angelfish,pygoplites,NA,pomacanthidae,acanthuriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
pylodictis olivaris,flathead catfish,pylodictis,NA,ictaluridae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
pyura chilensis,red sea squirt,pyura,NA,pyuridae,pleurogona,ascidiacea,NA,chordata,animalia,Sea-squirts and other tunicates
rachycentridae,cobias,NA,NA,rachycentridae,carangiformes,teleostei,osteichthyes,chordata,animalia,NA
rachycentron canadum,cobia,rachycentron,NA,rachycentridae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
raja,raja rays nei,raja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
raja asterias,mediterranean starry ray,raja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
raja brachyura,blonde ray,raja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
raja clavata,thornback ray,raja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
raja maderensis,madeiran ray,raja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
raja microocellata,small-eyed ray,raja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
raja miraletus,brown ray,raja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
raja montagui,spotted ray,raja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
raja polystigma,speckled ray,raja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
raja radula,rough ray,raja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
raja undulata,undulate ray,raja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rajella,abyssal stingrays/skates,rajella,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
rajella fyllae,round ray,rajella,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rajella kukujevi,,rajella,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rajella leopardus,leopard skate,rajella,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rajella lintea,sailray,rajella,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rajidae,rays and skates nei,NA,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rajiformes,"rays, stingrays, mantas nei",NA,NA,NA,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
randallichthys filamentosus,randall's snapper,randallichthys,etelinae,lutjanidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
rangia cuneata,atlantic rangia,rangia,NA,mactridae,venerida,bivalvia,NA,mollusca,animalia,NA
ranina ranina,spanner crab,ranina,NA,raninidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
rapana,sea snails,rapana,rapaninae,muricidae,neogastropoda,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
rapana venosa,veined rapa whelk,rapana,rapaninae,muricidae,neogastropoda,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
rasbora argyrotaenia,silver rasbora,rasbora,rasborinae,danionidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
rastrelliger,indian mackerels nei,rastrelliger,scombrinae,scombridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
rastrelliger brachysoma,short mackerel,rastrelliger,scombrinae,scombridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
rastrelliger kanagurta,indian mackerel,rastrelliger,scombrinae,scombridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
rastrineobola argentea,silver cyprinid,rastrineobola,chedrinae,danionidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
regalecus glesne,king of herrings,regalecus,NA,regalecidae,lampriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
reinhardtius hippoglossoides,greenland halibut,reinhardtius,hippoglossinae,pleuronectidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
rexea solandri,silver gemfish,rexea,NA,gempylidae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
rhabdosargus,stumpnoses nei,rhabdosargus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
rhabdosargus globiceps,white stumpnose,rhabdosargus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
rhabdosargus haffara,haffara seabream,rhabdosargus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
rhabdosargus sarba,goldlined seabream,rhabdosargus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
rhamdia quelen,south american catfish,rhamdia,NA,heptapteridae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
rhencus macracanthus,longspine grunt,rhencus,haemulinae,haemulidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
rhencus panamensis,panama grunt,rhencus,haemulinae,haemulidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
rhincodon typus,whale shark,rhincodon,NA,rhincodontidae,orectolobiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhinobatidae,"guitarfishes, etc. nei",NA,NA,rhinobatidae,rhinopristiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhinobatos,guitarfishes nei,rhinobatos,NA,rhinobatidae,rhinopristiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhinobatos rhinobatos,common guitarfish,rhinobatos,NA,rhinobatidae,rhinopristiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhinochimaera atlantica,straightnose rabbitfish,rhinochimaera,NA,rhinochimaeridae,chimaeriformes,holocephali,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhinoptera bonasus,cownose ray,rhinoptera,NA,rhinopteridae,myliobatiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhinoptera brasiliensis,ticon cownose ray,rhinoptera,NA,rhinopteridae,myliobatiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhinoptera marginata,lusitanian cownose ray,rhinoptera,NA,rhinopteridae,myliobatiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhinoptera steindachneri,pacific cownose ray,rhinoptera,NA,rhinopteridae,myliobatiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhizoprionodon acutus,milk shark,rhizoprionodon,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhizoprionodon lalandii,brazilian sharpnose shark,rhizoprionodon,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhizoprionodon longurio,pacific sharpnose shark,rhizoprionodon,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
rhizoprionodon porosus,caribbean sharpnose shark,rhizoprionodon,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhizoprionodon terraenovae,atlantic sharpnose shark,rhizoprionodon,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhizostoma pulmo,barrel jellyfish,rhizostoma,NA,rhizostomatidae,rhizostomeae,scyphozoa,NA,cnidaria,animalia,NA
rhizostomatidae,rhizostomatid jellyfishes,NA,NA,rhizostomatidae,rhizostomeae,scyphozoa,NA,cnidaria,animalia,NA
rhizostomeae,oral arm jellyfishes,NA,NA,NA,rhizostomeae,scyphozoa,NA,cnidaria,animalia,NA
rhomboplites aurorubens,vermilion snapper,rhomboplites,lutjaninae,lutjanidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
rhombosolea,sand flounders nei,rhombosolea,NA,rhombosoleidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
rhopilema,jellyfishes nei,rhopilema,NA,rhizostomatidae,rhizostomeae,scyphozoa,NA,cnidaria,animalia,Miscellaneous aquatic invertebrates
rhopilema esculentum,,rhopilema,NA,rhizostomatidae,rhizostomeae,scyphozoa,NA,cnidaria,animalia,Miscellaneous aquatic invertebrates
rhopilema hispidum,sand jellyfish,rhopilema,NA,rhizostomatidae,rhizostomeae,scyphozoa,NA,cnidaria,animalia,NA
rhynchobatus australiae,whitespotted wedgefish,rhynchobatus,NA,rhinidae,rhinopristiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhynchobatus djiddensis,giant guitarfish,rhynchobatus,NA,rhinidae,rhinopristiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rhynchocinetes typus,rabbitnose shrimp,rhynchocinetes,NA,rhynchocinetidae,decapoda,malacostraca,NA,arthropoda,animalia,NA
rimapenaeus constrictus,roughneck shrimp,rimapenaeus,NA,penaeidae,decapoda,malacostraca,NA,arthropoda,animalia,"Shrimps, prawns"
rioraja agassizii,rio skate,rioraja,NA,arhynchobatidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rochia nilotica,commercial top,rochia,NA,tegulidae,trochida,gastropoda,NA,mollusca,animalia,NA
rohtee ogilbii,vatani rohtee,rohtee,smiliogastrinae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
romaleon antennarium,california red rock crab,romaleon,NA,cancridae,decapoda,malacostraca,NA,arthropoda,animalia,NA
rossia macrosoma,stout bobtail squid,rossia,NA,sepiolidae,sepiolida,cephalopoda,NA,mollusca,animalia,"Squids, cuttlefishes, octopuses"
rostroraja alba,white skate,rostroraja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
rostroraja eglanteria,clearnose skate,rostroraja,NA,rajidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
ruditapes,carpet shells nei,ruditapes,NA,veneridae,venerida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
ruditapes decussatus,grooved carpet shell,ruditapes,NA,veneridae,venerida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
ruditapes philippinarum,japanese carpet shell,ruditapes,NA,veneridae,venerida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
rutilus,roaches nei,rutilus,leuciscinae,leuciscidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
rutilus caspicus,caspian roach,rutilus,leuciscinae,leuciscidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
rutilus frisii,kutum,rutilus,leuciscinae,leuciscidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
rutilus rutilus,roach,rutilus,leuciscinae,leuciscidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
ruvettus pretiosus,oilfish,ruvettus,NA,gempylidae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
saccostrea cuccullata,hooded oyster,saccostrea,NA,ostreidae,ostreida,bivalvia,NA,mollusca,animalia,NA
saccostrea cucullata,hooded oyster,saccostrea,NA,ostreidae,ostreida,bivalvia,NA,mollusca,animalia,Oysters
sagmariasus verreauxi,green rock lobster,sagmariasus,NA,palinuridae,decapoda,malacostraca,NA,arthropoda,animalia,"Lobsters, spiny-rock lobsters"
salangichthys microdon,japanese icefish,salangichthys,NA,salangidae,osmeriformes,actinopterygii,osteichthyes,chordata,animalia,"Salmons, trouts, smelts"
salilota australis,tadpole codling,salilota,NA,moridae,gadiformes,actinopterygii,osteichthyes,chordata,animalia,"Cods, hakes, haddocks"
salminus brasiliensis,dorado,salminus,salmininae,bryconidae,characiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
salmo,trouts nei,salmo,salmoninae,salmonidae,salmoniformes,actinopterygii,osteichthyes,chordata,animalia,"Salmons, trouts, smelts"
salmo ischchan,sevan trout,salmo,salmoninae,salmonidae,salmoniformes,actinopterygii,osteichthyes,chordata,animalia,"Salmons, trouts, smelts"
salmo letnica,ohrid trout,salmo,salmoninae,salmonidae,salmoniformes,actinopterygii,osteichthyes,chordata,animalia,"Salmons, trouts, smelts"
salmo salar,atlantic salmon,salmo,salmoninae,salmonidae,salmoniformes,actinopterygii,osteichthyes,chordata,animalia,"Salmons, trouts, smelts"
salmo trutta,sea trout,salmo,salmoninae,salmonidae,salmoniformes,actinopterygii,osteichthyes,chordata,animalia,"Salmons, trouts, smelts"
salmonidae,almonids nei,NA,NA,salmonidae,salmoniformes,actinopterygii,osteichthyes,chordata,animalia,"Salmons, trouts, smelts"
salmoninae,salmons and trouts,NA,NA,NA,NA,NA,NA,NA,NA,"Salmons, trouts, smelts"
salpidae,salps,NA,NA,salpidae,salpida,thaliacea,NA,chordata,animalia,Sea-squirts and other tunicates
salvelinus,chars nei,salvelinus,salmoninae,salmonidae,salmoniformes,actinopterygii,osteichthyes,chordata,animalia,"Salmons, trouts, smelts"
salvelinus alpinus,arctic char,salvelinus,salmoninae,salmonidae,salmoniformes,actinopterygii,osteichthyes,chordata,animalia,"Salmons, trouts, smelts"
salvelinus fontinalis,brook trout,salvelinus,salmoninae,salmonidae,salmoniformes,actinopterygii,osteichthyes,chordata,animalia,"Salmons, trouts, smelts"
salvelinus malma,dolly varden,salvelinus,salmoninae,salmonidae,salmoniformes,teleostei,osteichthyes,chordata,animalia,NA
salvelinus namaycush,lake trout(=char),salvelinus,salmoninae,salmonidae,salmoniformes,actinopterygii,osteichthyes,chordata,animalia,"Salmons, trouts, smelts"
salvethymus svetovidovi,long-finned charr,salvethymus,salmoninae,salmonidae,salmoniformes,actinopterygii,osteichthyes,chordata,animalia,"Salmons, trouts, smelts"
sander canadensis,sauger,sander,luciopercinae,percidae,perciformes/percoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
sander lucioperca,pike-perch,sander,luciopercinae,percidae,perciformes/percoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
sander vitreus,walleye,sander,luciopercinae,percidae,perciformes/percoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
sander volgensis,volga pikeperch,sander,luciopercinae,percidae,perciformes/percoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
sanquerus validus,senegalese smooth swimcrab,sanquerus,portuninae,portunidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
sarda,bonitos nei,sarda,scombrinae,scombridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,"Tunas, bonitos, billfishes"
sarda australis,australian bonito,sarda,scombrinae,scombridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,"Tunas, bonitos, billfishes"
sarda chiliensis,eastern pacific bonito,sarda,scombrinae,scombridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,"Tunas, bonitos, billfishes"
sarda lineolata,pacific bonito,sarda,scombrinae,scombridae,scombriformes,teleostei,osteichthyes,chordata,animalia,NA
sarda orientalis,striped bonito,sarda,scombrinae,scombridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,"Tunas, bonitos, billfishes"
sarda sarda,atlantic bonito,sarda,scombrinae,scombridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,"Tunas, bonitos, billfishes"
sardina pilchardus,european pilchard(=sardine),sardina,alosinae,clupeidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
sardinella,sardinellas nei,sardinella,dorosomatinae,clupeidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
sardinella albella,white sardinella,sardinella,NA,dorosomatidae,clupeiformes,teleostei,osteichthyes,chordata,animalia,NA
sardinella aurita,round sardinella,sardinella,dorosomatinae,clupeidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
sardinella brasiliensis,brazilian sardinella,sardinella,dorosomatinae,clupeidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
sardinella fimbriata,fringescale sardinella,sardinella,NA,dorosomatidae,clupeiformes,teleostei,osteichthyes,chordata,animalia,NA
sardinella gibbosa,goldstripe sardinella,sardinella,dorosomatinae,clupeidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
sardinella lemuru,bali sardinella,sardinella,dorosomatinae,clupeidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
sardinella longiceps,indian oil sardine,sardinella,dorosomatinae,clupeidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
sardinella maderensis,madeiran sardinella,sardinella,dorosomatinae,clupeidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
sardinella sindensis,sind sardinella,sardinella,NA,dorosomatidae,clupeiformes,teleostei,osteichthyes,chordata,animalia,NA
sardinella zunasi,japanese sardinella,sardinella,dorosomatinae,clupeidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
sardinops sagax,south american pilchard,sardinops,alosinae,clupeidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
sargocentron,squirrelfishes,sargocentron,holocentrinae,holocentridae,holocentriformes,teleostei,osteichthyes,chordata,animalia,NA
sargocentron coruscum,reef squirrelfish,sargocentron,holocentrinae,holocentridae,holocentriformes,teleostei,osteichthyes,chordata,animalia,NA
sargocentron rubrum,redcoat,sargocentron,holocentrinae,holocentridae,holocentriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
