sciname,common_name,genus,subfamily,family,order,class,superclass,phylum,kingdom,isscaap
ammodytidae,sand lances,NA,NA,ammodytidae,perciformes/uranoscopoidei,teleostei,osteichthyes,chordata,animalia,NA
amphiarius phrygiatus,kukwari sea catfish,amphiarius,ariinae,ariidae,siluriformes,teleostei,osteichthyes,chordata,animalia,NA
amphiarius rugispinis,softhead sea catfish,amphiarius,ariinae,ariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
amphichthys cryptocentrus,bocon toadfish,amphichthys,batrachoidinae,batrachoididae,batrachoidiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
anabas testudineus,climbing perch,anabas,NA,anabantidae,anabantiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
anableps anableps,largescale foureyes,anableps,anablepinae,anablepidae,cyprinodontiformes,teleostei,osteichthyes,chordata,animalia,NA
anadara,anadara clams nei,anadara,NA,arcidae,arcida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
anadara broughtonii,inflated ark,anadara,NA,arcidae,arcida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
anadara grandis,grand ark,anadara,NA,arcidae,arcida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
anadara sativa,half-crenated ark,anadara,NA,arcidae,arcida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
anadara tuberculosa,black ark,anadara,NA,arcidae,arcida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
anarhichadidae,"wolffishes, wolfeels",NA,NA,anarhichadidae,perciformes/zoarcoidei,teleostei,osteichthyes,chordata,animalia,NA
anarhichas,wolffishes(=catfishes) nei,anarhichas,NA,anarhichadidae,perciformes/zoarcoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
anarhichas denticulatus,northern wolffish,anarhichas,NA,anarhichadidae,perciformes/zoarcoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
anarhichas lupus,atlantic wolffish,anarhichas,NA,anarhichadidae,perciformes/zoarcoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
anarhichas minor,spotted wolffish,anarhichas,NA,anarhichadidae,perciformes/zoarcoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
anchoa choerostoma,bermuda anchovy,anchoa,engraulinae,engraulidae,clupeiformes,teleostei,osteichthyes,chordata,animalia,NA
anchoa hepsetus,broad-striped anchovy,anchoa,engraulinae,engraulidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
anchoa marinii,marini's anchovy,anchoa,engraulinae,engraulidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
anchoa mitchilli,bay anchovy,anchoa,engraulinae,engraulidae,clupeiformes,teleostei,osteichthyes,chordata,animalia,NA
anchoa nasus,longnose anchovy,anchoa,engraulinae,engraulidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
